널time,x,y,altitude,u,v,w,V,a_u,a_v,a_w,a_x,a_y,a_z,a_total,phi,theta,psi,p,q,r,alpha,beta,mach,q_dyn,E_s,flag_burnout,flag_apogee,phase,missile_type,elevation_deg
235.28620194386306,188238.15608611843,0.0,246198.19367120904,899.6813929941983,0.0,2.233379792586845,899.6841650742103,-1.6825357336787192,0.0,0.004064685573438531,9.837094694375992e-09,0.0,-9.090498568781186,9.090498568781186,0.0,0.1886436611857561,0.0,0.0,-0.009920357249646228,0.0,0.00248240679684874,0.0,2.727993100403823,2.6080158203483416e-08,287467.7198032357,0,0,3,KN-23,30
235.78620194386306,188680.2257876118,0.0,246280.31767274582,898.8512238258938,0.0,2.235387250451147,898.854003456327,-1.638081663708249,0.0,0.003964711002928389,9.604264050722122e-09,0.0,-9.090272934088716,9.090272934088716,0.0,0.18367888414583466,0.0,0.0,-0.00993867746912103,0.0,0.0024869328568459252,0.0,2.7254759113126723,2.5776767964664898e-08,287473.7180454249,0,0,3,KN-23,30
236.28620194386306,189122.29548910758,0.0,246360.16910643983,898.04331133049,0.0,2.237344503589773,898.0460983356362,-1.5935104184607098,0.0,0.0038638754734181546,9.371433407068253e-09,0.0,-9.09005355136469,9.09005355136469,0.0,0.17870505542747903,0.0,0.0,-0.009956563123458466,0.0,0.002491349633615521,0.0,2.723026207649339,2.5485075483984462e-08,287479.5521136777,0,0,3,KN-23,30
236.78620194386306,189564.3651906057,0.0,246437.7480271367,897.2577134074331,0.0,2.2392511259245653,897.2605076089889,-1.5488247713174133,0.0,0.0037621968350665114,9.138602763414383e-09,0.0,-9.089840419706888,9.089840419706888,0.0,0.17372239358900426,0.0,0.0,-0.009974009125478765,0.0,0.002495655867377199,0.0,2.720644164966773,2.520476878366952e-08,287485.22185942094,0,0,3,KN-23,30
237.28620194386306,190006.4348921061,0.0,246513.05448811926,896.4944865591726,0.0,2.2411067004248397,896.4972877762862,-1.5040275365072375,0.0,0.0036596934242236756,8.847564458847046e-09,0.0,-9.0896335382713,9.0896335382713,0.0,0.1687311197079915,0.0,0.0,-0.00999101048585415,0.0,0.0024998503232420404,0.0,2.7183299545821407,2.493554990772364e-08,287490.72713832284,0,0,3,KN-23,30
237.78620194386306,190448.50459360873,0.0,246586.08854110786,895.7536858709259,0.0,2.242910819348789,895.7564939202467,-1.4591215683390146,0.0,0.0035563840563770377,8.556526154279709e-09,0.0,-9.089432906359434,9.089432906359434,0.0,0.1637314573315085,0.0,0.0,-0.010007562316516358,0.0,0.002503931792059437,0.0,2.7160837435154708,2.467713440724138e-08,287496.0678102922,0,0,3,KN-23,30
238.28620194386306,190890.57429511347,0.0,246656.85023626042,895.0353649908336,0.0,2.2446630844812168,895.0381796865638,-1.4141097604016295,0.0,0.003452288018576777,8.32369551062584e-09,0.0,-9.089238523185486,9.089238523185486,0.0,0.15872363242463666,0.0,0.0,-0.010023659834022201,0.0,0.0025078990912529913,0.0,2.7139056944294926,2.4429250851736968e-08,287501.243739477,0,0,3,KN-23,30
238.78620194386306,191332.64399662032,0.0,246725.33962217267,894.3395761105243,0.0,2.2463631073673658,894.3423972644719,-1.3689950447322872,0.0,0.003347425061357434,8.061761036515236e-09,0.0,-9.089050387992756,9.089050387992756,0.0,0.15370787331732652,0.0,0.0,-0.010039298362873162,0.0,0.002511751065644403,0.0,2.711795965570708,2.4191640365329516e-08,287506.25479426316,0,0,3,KN-23,30
239.28620194386306,191774.71369812917,0.0,246791.5567458784,893.6663699461013,0.0,2.248010509542574,893.6691973677358,-1.3237803909546528,0.0,0.003241815390121694,7.799826562404633e-09,0.0,-9.088868500082754,9.088868500082754,0.0,0.14868441064960616,0.0,0.0,-0.010054473338784817,0.0,0.0025154865882643152,0.0,2.709754710711746,2.3964056186699495e-08,287511.10084727354,0,0,3,KN-23,30
239.78620194386306,192216.78339963997,0.0,246855.5016528495,893.0157957195696,0.0,2.2496049227574875,893.0186292160788,-1.2784688053855007,0.0,0.003135479656032558,7.566995918750763e-09,0.0,-9.088692858756986,9.088692858756986,0.0,0.14365347731516787,0.0,0.0,-0.010069180311902058,0.0,0.0025191045611490737,0.0,2.707782079095054,2.3746263251784508e-08,287515.7817753666,0,0,3,KN-23,30
240.28620194386306,192658.85310115266,0.0,246917.17438699628,892.3879011407158,0.0,2.2511459891986068,892.3907405170655,-1.2330633301112357,0.0,0.003028438946405476,7.30506144464016e-09,0.0,-9.088523463404272,9.088523463404272,0.0,0.13861530840336178,0.0,0.0,-0.010083414949956003,0.0,0.0025226039161224314,0.0,2.705878215377959,2.3538037798246467e-08,287520.2974596356,0,0,3,KN-23,30
240.78620194386306,193100.9228026672,0.0,246976.57499066755,891.7827323894584,0.0,2.252633361703893,891.7855774484528,-1.187567042035198,0.0,0.0029207147745902162,7.0140231400728226e-09,0.0,-9.088360313355224,9.088360313355224,0.0,0.13357014113962673,0.0,0.0,-0.010097173041358595,0.0,0.0025259836155611575,0.0,2.704043259579155,2.3339166990792426e-08,287524.6477854074,0,0,3,KN-23,30
